release_agency,species,run,brood_year,release_year,first_release_date,last_release_date,mean_release_date,release_stage,rearing_type,avg_weight,avg_length,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,total_release
WDFW,chinook,3,1952,1953,5/25/1953,5/25/1953,145,G,H,2.95,64.53676556,PORTAGE BAY/SHIP CNL,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,44982
WDFW,chinook,3,1952,1953,5/25/1953,5/25/1953,145,G,H,2.38,60.17888026,PORTAGE BAY/SHIP CNL,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,WA,MPS,LAKW,40280
PUYA,chinook,3,2002,2003,5/27/2003,5/27/2003,147,G,H,7.82,88.64875206,DIRU CR      10.0029,PUYALLUP TRIBAL HATCHERY,VOIGHT CR    10.0414,WA,MPS,PUYA,134500
COOP,chinook,1,2002,2003,5/28/2003,5/28/2003,148,G,H,4.28,74,HUCKLEBERRY C10.0253,HUCKLEBERRY C RRNG P-ARMY,WHITE R      10.0031,WA,MPS,PUYA,243000
COOP,chinook,1,2002,2003,4/24/2003,4/24/2003,114,G,H,3.94,70,CRIPPLE CR REARNG PD,CRIPPLE CR REARNG PD,WHITE R      10.0031,WA,MPS,PUYA,55750
WDFW,chinook,3,1952,1953,5/26/1953,5/26/1953,146,G,H,2.01,56.95728937,ELWHA R      18.0272,BINGHAM CR HATCHERY,SPRING CR    29.0159,WA,JUAN,ELDU,6334
PUYA,chinook,1,1997,1998,6/17/1998,6/17/1998,168,G,H,10.56,97.7581512,PUYALLUP R   10.0021,COWSKULL ACCLIM POND,WHITE R      10.0031,WA,MPS,PUYA,37346
WDFW,chinook,3,1952,1953,5/26/1953,5/26/1953,146,G,H,2.2,58.65736556,SAMISH R     03.0005,SAMISH HATCHERY,SAMISH   (FRIDAY CR),WA,NOWA,BESA,23165
PUYA,chinook,1,1997,1998,6/17/1998,6/17/1998,168,G,H,6.39,83.00671627,MOWICH R ACCLIM POND,MOWICH R ACCLIM POND,WHITE R      10.0031,WA,MPS,PUYA,201536
WDFW,chinook,1,1952,1953,6/3/1953,6/3/1953,154,G,H,0.94,44.47031947,DUNGENESS R  18.0018,DUNGENESS HATCHERY,DUNGENESS R  18.0018,WA,JUAN,ELDU,86040
